name,animal_type,breed,lat,lon
부산동물보호센터,강아지,"말티즈,푸들,비숑 프리제",35.1802,128.9606
부산동물보호센터(기장),고양이,"코리안 숏헤어,러시안 블루,먼치킨",35.2447,129.2223
부산 강서구 유기동물보호소,강아지,"포메라니안,치와와,웰시 코기",35.2122,128.9806
부산 사상구 유기동물보호소,고양이,"브리티시 숏헤어,샴,버만",35.1526,128.9912
부산 동래구 유기동물보호소,강아지,"보더 콜리,비글,코커 스패니얼",35.2049,129.0836
부산 해운대구 유기동물보호소,고양이,"랙돌,메인쿤,노르웨이 숲",35.1631,129.1635
부산 금정구 유기동물보호소,강아지,"골든 리트리버,래브라도 리트리버,시바 이누",35.2421,129.0927
부산 북구 유기동물보호소,고양이,"싱가푸라,데본 렉스,아메리칸 숏헤어",35.1971,128.9907
부산 남구 유기동물보호소,강아지,"시베리안 허스키,도베르만,저먼 셰퍼드",35.1366,129.0840
부산 부산진구 유기동물보호소,고양이,"벵갈,사바나 캣,스코티시 폴드",35.1624,129.0531
부산 동구 유기동물보호소,강아지,"말티즈,포메라니안,푸들",35.1290,129.0453
부산 서구 유기동물보호소,고양이,"코리안 숏헤어,러시안 블루,브리티시 숏헤어",35.0979,129.0240
부산 영도구 유기동물보호소,강아지,"비숑 프리제,치와와,비글",35.0912,129.0670
부산 사하구 유기동물보호소,고양이,"랙돌,샴,싱가푸라",35.1047,128.9747
부산 연제구 유기동물보호소,강아지,"웰시 코기,골든 리트리버,보더 콜리",35.1761,129.0792
