가게명,종류,시도,시군구,동,위도,경도,전화번호,특징
바다펫 우동점,용품점,부산광역시,해운대구,우동,35.1631,129.1635,051-777-8888,사료·장난감·수족관
해운대 펫스토어 좌동점,용품점,부산광역시,해운대구,좌동,35.1700,129.1730,051-777-9999,종합 용품·대형매장
멍멍이네 미용실 우동점,미용점,부산광역시,해운대구,우동,35.1645,129.1600,051-700-1111,전문 미용·목욕
남포 펫마트 남포동,용품점,부산광역시,중구,남포동,35.0975,129.0306,051-999-0000,종합 용품·배변용품
중구 펫뷰티 광복동,미용점,부산광역시,중구,광복동,35.0985,129.0345,051-999-2222,스파·미용·스타일링
서면 동물용품 부전동,용품점,부산광역시,부산진구,부전동,35.1577,129.0594,051-222-1111,사료·간식
서면 펫살롱 전포동,미용점,부산광역시,부산진구,전포동,35.1540,129.0650,051-222-3333,미용·위생관리
동래 펫샵 명륜동,용품점,부산광역시,동래구,명륜동,35.2050,129.0790,051-555-4444,사료·용품·장난감
사하 멍냥마트 하단동,용품점,부산광역시,사하구,하단동,35.1060,128.9660,051-333-5555,종합 용품
남구 펫그루밍 대연동,미용점,부산광역시,남구,대연동,35.1360,129.0840,051-444-6666,전문 미용·애견호텔
